paper_id,real_smartphone,android,multiple_architectures,multiple_quantizations,multiple_delegates,thread_ablation,raw_latency,model_size,memory,energy,hardware_aware_selection,repeated_trials,notes
P01,yes,yes,yes,no,no,no,no,yes,no,no,no,unclear,"Foundational INT8 method with ARM latency"
P02,yes,unclear,no,no,no,no,no,yes,yes,no,no,unclear,"Architecture baseline"
P03,yes,yes,yes,no,no,no,no,yes,no,no,yes,unclear,"Compression policy; older Pixel"
P04,yes,yes,yes,yes,yes,no,no,unclear,unclear,unclear,no,yes,"Broad benchmark; not per-model selection"
P05,no,no,yes,yes,no,no,no,yes,no,yes,yes,unclear,"Hardware simulator feedback"
P06,no,no,yes,yes,no,no,no,yes,no,no,yes,unclear,"Sensitivity-driven mixed precision"
P07,yes,unclear,yes,no,no,no,no,yes,unclear,no,yes,unclear,"Hardware-aware architecture search"
P08,yes,yes,yes,yes,yes,no,no,unclear,unclear,unclear,no,yes,"Cross-SoC benchmark"
P09,no,no,yes,yes,no,no,no,yes,no,no,yes,unclear,"TVM on T4 GPU"
P10,yes,yes,yes,no,yes,no,yes,no,no,no,yes,yes,"Latency predictor dataset"
P11,yes,yes,yes,limited,yes,no,yes,unclear,unclear,limited,no,yes,"Governed benchmark rules"
P12,yes,no,yes,no,no,no,no,yes,no,no,no,unclear,"Mobile ViT architecture"
P13,no,no,yes,yes,no,no,no,yes,no,no,no,unclear,"Low-bit PTQ accuracy"
P14,no,no,yes,yes,no,no,no,yes,no,no,no,unclear,"ViT PTQ calibration"
P15,no,no,yes,yes,no,no,no,yes,no,no,no,unclear,"Fully quantized ViT"
P16,yes,unclear,yes,no,no,no,no,no,no,no,yes,unclear,"Measured mobile-latency NAS"
P17,no,no,yes,yes,no,no,no,yes,no,no,no,yes,"Raspberry Pi and x86 cross-runtime study"
P18,yes,no,yes,no,yes,no,no,yes,unclear,no,yes,unclear,"Shows proxy metrics can mislead"
P19,yes,no,yes,no,no,no,no,yes,unclear,no,no,unclear,"Mobile hybrid architecture"
P20,unclear,unclear,yes,no,no,no,no,yes,yes,no,no,unclear,"Dense prediction focus"
P21,no,no,yes,yes,no,no,no,yes,no,no,no,unclear,"Integer-only ViT on TVM GPU"
P22,no,no,yes,yes,no,no,no,yes,no,no,yes,unclear,"Constrained bit allocation"
P23,no,no,yes,yes,no,no,no,yes,no,no,yes,unclear,"Accumulator-aware quantization"
P24,no,no,yes,no,no,no,no,yes,yes,yes,yes,unclear,"tinyML hardware scaling"
P25,yes,yes,yes,limited,yes,no,no,yes,unclear,no,yes,unclear,"Universal architecture across accelerators"
P26,yes,no,yes,no,no,no,no,yes,no,no,no,unclear,"iPhone latency"
P27,yes,yes,yes,yes,no,no,no,yes,no,no,yes,unclear,"Kirin 9000 CPU QuantNAS"
P28,unclear,unclear,yes,yes,no,no,no,yes,yes,no,yes,unclear,"Mixed-precision Pareto optimization"
P29,unclear,unclear,yes,yes,no,no,no,yes,yes,yes,yes,unclear,"Low-precision operation cost"
P30,yes,unclear,no,yes,yes,no,no,yes,unclear,unclear,yes,unclear,"Specialized heterogeneous codec"
P31,unclear,unclear,yes,no,no,no,no,no,yes,no,yes,unclear,"Peak-memory-oriented CNN"
P32,yes,no,yes,yes,unclear,no,unclear,yes,yes,no,no,unclear,"iOS LLM/LMM benchmark"
P33,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,"Highly overlapping 2025 preprint; average latency on one high-end tablet"
P34,no,no,yes,no,no,no,no,yes,no,no,yes,unclear,"EfficientNet architecture baseline"
